pdbid,anchor_class,anchor_dist,anchor1,anchor2
5HHQ,7,18.306350209694997,182,189
6GH1-AP,7,18.273055272723276,182,189
6GH1-CQ,7,18.28042685497251,182,189
6GH1-ER,7,18.266695240245294,182,189
6GH1-GZ,7,18.08400776929716,182,189
6VB7,7,18.189322912082243,182,189
4NO5,7,18.0074849160009,182,189
1W0W,7,18.93805589283124,182,189
6SSA-AC,7,18.552862447611687,182,189
6SSA-DF,7,18.550680553553825,182,189
6SSA-GI,7,18.78241547298963,182,189
6SSA-JL,7,18.643058064598748,182,189
7EJN,7,19.424901544152032,182,189
3GSQ,7,18.547386365738973,182,189
5EU4-AC,7,18.6468331895794,182,189
5EU4-DF,7,18.68254316200019,182,189
7RRG,7,18.53707498501314,182,189
5IND-AE,7,18.673424806392642,182,189
5IND-CF,7,18.573375083705166,182,189
1JHT,7,18.82996986189835,182,189
3X11,7,18.55735730108142,182,189
6PTB-AC,7,18.16716496870109,182,189
6PTB-DF,7,17.986942986511078,182,189
6VB5,7,18.160530636520512,182,189
6VB6,7,18.23653511498278,182,189
7KGO,7,18.647166219026424,182,189
9EJD-AC,7,18.29911128989602,182,189
9EJD-DF,7,18.234573096181876,182,189
6GH4-AP,7,18.298520022122005,182,189
6GH4-CQ,7,18.133760806848645,182,189
6GH4-ER,7,18.262356091151,182,189
6GH4-GY,7,18.324138533639175,182,189
6XQA-AC,7,19.58240613407862,182,189
6XQA-DF,7,19.71353347322595,182,189
8XKC,7,18.975397466192906,182,189
1T21,7,18.523043513418624,182,189
1E27,7,18.708983884754407,182,189
1I1Y-AC,7,18.650064584338576,182,189
1I1Y-DF,7,18.660187512455494,182,189
1I7R-AC,7,18.69950822882784,182,189
1I7R-DF,7,18.699514565891807,182,189
1IM3-AC,7,18.233940605365593,182,189
1IM3-EG,7,18.218654341086776,182,189
1IM3-IK,7,18.217531611060817,182,189
1IM3-MO,7,18.247626174382248,182,189
1OF2,7,19.07391729561602,182,189
1QEW,7,18.330405996594838,182,189
1S8D,7,18.50817262724767,182,189
1S9W,7,18.097447389065675,182,189
1T1W,7,18.603311855688485,182,189
1T1X,7,18.591624189403145,182,189
1T20,7,18.85236924102646,182,189
1T22,7,18.741891606772242,182,189
6O9B,7,18.75354190546415,182,189
7MLE,7,18.286696612565102,182,189
3I6G-AC,7,18.397375274750473,182,189
3I6G-DF,7,18.391288535608375,182,189
9EIQ-AC,7,18.35167559107342,182,189
9EIQ-DF,7,18.35988464016046,182,189
6UZN,7,18.29259877655441,182,189
6SS8-AC,7,18.80676497965559,182,189
6SS8-DF,7,18.8649199309194,182,189
1EEY-AC,7,18.394534650270444,182,189
1EEY-DF,7,18.356877975298527,182,189
6UJO,7,18.178376192608624,182,189
7NMD-DF,7,18.898467689206978,182,189
1W0V,7,19.148166909654822,182,189
5MEQ,7,18.18799131295152,182,189
1A1M,7,18.5570941960211,182,189
1A1O,7,19.06499268292542,182,189
1EEZ-AC,7,18.15033936321853,182,189
1EEZ-DF,7,18.62931179619902,182,189
1S9Y,7,18.051717092841887,182,189
1XR8,7,17.95276805955003,182,189
2BSR,7,18.592405815278447,182,189
2X4O-AC,7,18.1265337282118,182,189
2X4O-DF,7,18.027999861326823,182,189
2X4R-AC,7,18.39225149349584,182,189
2X4R-DF,7,18.34609634227402,182,189
3KPO,7,19.20963890863126,182,189
3MRF,7,18.413405904394768,182,189
6EWO-EG,7,18.563268408338008,182,189
7LG0,7,18.135182519070497,182,189
7LG3,7,17.89424424221375,182,189
7N6D-AC,7,18.10806610325907,182,189
7N6D-EG,7,18.245482838226017,182,189
7N6D-IK,7,18.231088859418133,182,189
7N6D-MO,7,18.08704058158769,182,189
7TLT-AE,7,19.41349983902954,182,189
7TLT-CF,7,19.4405898315869,182,189
8RJI-AC,7,19.192111035527073,182,189
8RJI-DF,7,19.602859944406063,182,189
8RJI-GI,7,19.208485781029175,182,189
8RJI-JL,7,19.595340492065965,182,189
9CX2,7,18.554340462544072,182,189
3V5K-AC,7,18.141467470962763,182,189
3V5K-DF,7,18.159923705786873,182,189
5VGD,7,18.2795813956447,182,189
6VB4,7,18.112793765733656,182,189
6VIU,7,18.112793765733656,182,189
6UZO,7,18.29772428473006,182,189
8YZW-DF,7,19.775733690561268,182,189
8YZW-AC,7,19.87607566900468,182,189
6VR1-AP,7,18.33479680825506,182,189
6VR1-DQ,7,18.578787420065925,182,189
2C7U-AC,7,18.27343826432235,182,189
2C7U-DF,7,18.34972626498826,182,189
6VR5-AP,7,18.159311743565613,182,189
6VR5-DQ,7,18.947244496232162,182,189
4NQV-AM,7,19.451659826349015,182,189
4NQV-CN,7,19.471951263291512,182,189
4NQV-EO,7,19.343916459703802,182,189
4NQV-GP,7,19.331139050764698,182,189
4NQV-IQ,7,19.360896182770052,182,189
4NQV-KR,7,19.44695968525672,182,189
6EWA-EG,7,18.31288953169323,182,189
6UZQ,7,17.701774430830373,182,189
4HWZ,7,18.771455697414627,182,189
1Q94-AC,7,18.81968697933098,182,189
1Q94-DF,7,18.70653677194151,182,189
1SYS,7,18.91634885489269,182,189
3I6L,7,18.959473357664763,182,189
3KYN,7,18.622619418331027,182,189
3L3J,7,18.81117037826196,182,189
3MRH,7,18.290794624619238,182,189
6ID4-AU,7,18.6924142367967,182,189
6ID4-ET,7,18.6526602124201,182,189
8UTC-AE,7,18.09956634839631,182,189
8UTC-CF,7,18.18055936983238,182,189
3MRL,7,18.99632822415953,182,189
6VM7,7,18.8990574103578,182,189
6VM8,7,18.896543466994167,182,189
6O9C,7,18.740512372931537,182,189
8ISN-AC,7,19.5667406841303,182,189
